Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
2017-11-17,EQ,419.45,423.45,417,413.45,421.7,421.8,420.22,552,358.5,"61,91,428","2,60,17,90,528.55","91,339"
2017-11-20,EQ,421,425.7,420.1,421.8,423.35,423,422.71,552,358.5,"40,51,153","1,71,24,62,247.05","42,978"
2017-11-21,EQ,424.45,430,422.5,423,424,424.25,425.97,552,358.5,"67,45,407","2,87,33,60,502.80","72,243"
2017-11-22,EQ,425.45,433,424.5,424.25,428,428.6,429.12,552,358.5,"78,99,417","3,38,98,13,791.80","91,008"
2017-11-23,EQ,428.6,431.05,422.45,428.6,426.4,426.25,427.13,552,358.5,"73,74,216","3,14,97,26,028.60","67,605"
2017-11-24,EQ,427,429.95,424.25,426.25,425.5,425.5,426.88,552,358.5,"51,08,182","2,18,05,67,998.30","55,588"
2017-11-27,EQ,423,424.75,417.8,425.5,421.65,421.4,421.35,552,358.5,"79,46,028","3,34,80,88,446.85","89,802"
2017-11-28,EQ,419.8,422.25,414.5,421.4,414.8,415.95,418.52,552,358.5,"62,17,480","2,60,21,28,698.25","64,747"
2017-11-29,EQ,415.9,419.45,412.05,415.95,412.5,413.95,416.59,552,358.5,"43,27,453","1,80,27,94,179.35","61,144"
2017-11-30,EQ,410.4,412.25,402.25,413.95,404.85,404.15,406.29,552,358.5,"2,56,46,262","10,41,97,23,811.85","1,62,012"
2017-12-01,EQ,407.9,410.25,396.5,404.15,399,398.9,404.69,552,358.5,"79,59,197","3,22,10,17,928.45","80,578"
2017-12-04,EQ,405.8,411.25,401.7,398.9,404.25,403.65,406.2,552,358.5,"1,00,43,491","4,07,96,19,833.45","89,263"
2017-12-05,EQ,404.55,405.5,396.55,403.65,402.25,402.25,400.26,552,358.5,"71,44,542","2,85,97,02,636.50","70,281"
2017-12-06,EQ,400.2,404,395,402.25,395.75,397.05,398.34,552,358.5,"55,73,968","2,22,03,38,767.75","58,474"
2017-12-07,EQ,398,405.3,397.15,397.05,402.55,402,401.72,552,358.5,"79,98,863","3,21,32,92,703.25","78,444"
2017-12-08,EQ,406,413.75,406,402,410.85,411.15,410.36,552,358.5,"1,22,88,946","5,04,28,95,342.75","1,31,596"
2017-12-11,EQ,412,415.2,409.05,411.15,410.2,410.15,411.64,552,358.5,"50,66,242","2,08,54,91,659.50","59,510"
2017-12-12,EQ,411.55,415.5,405.95,410.15,406.25,406.85,410.29,552,358.5,"61,51,197","2,52,37,83,414.75","57,765"
2017-12-13,EQ,407,409.85,400,406.85,401.65,401.95,405.31,552,358.5,"51,40,689","2,08,35,67,515.75","60,080"
2017-12-14,EQ,404,404.55,398.2,401.95,402.95,402.4,401.19,552,358.5,"46,74,026","1,87,51,78,931.95","58,027"
2017-12-15,EQ,406.5,409,404.2,402.4,404.95,405.1,405.91,552,358.5,"56,14,113","2,27,88,31,062.00","79,270"
2017-12-18,EQ,399,409.9,389.3,405.1,406.5,405.8,404.05,552,358.5,"53,56,208","2,16,41,99,485.35","56,161"
2017-12-19,EQ,407.35,421.7,407.35,405.8,420.55,420.1,415.14,552,358.5,"96,86,883","4,02,14,22,112.10","1,18,625"
2017-12-20,EQ,421.95,427.75,419.25,420.1,422.65,422.6,424.43,552,358.5,"1,11,91,127","4,74,97,99,734.65","1,43,094"
2017-12-21,EQ,424,426.05,419.55,422.6,420.85,420.8,422.01,552,358.5,"48,85,225","2,06,16,05,756.45","54,454"
2017-12-22,EQ,422.05,426.4,420.9,420.8,421.4,422,423.68,552,358.5,"53,45,261","2,26,46,92,732.70","62,188"
